"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
135,141,0.142160593941093,0.142160593941093,0.00359919462033318,0.00729188519532949,0.0408970542859496,0.0985382148769955,0.197076429753991,0.425875079296935,0.52441329417393
136,142,0.290792425813021,0.205621296210073,0.0352163118311107,0.0516682178683219,0.139766291704343,0.244025296291464,0.391498863241868,0.689739935515558,0.810095848708105
137,143,0.447981893891099,0.258642467030105,0.0923846364374661,0.122103654373021,0.257932954843383,0.399310201240303,0.58542304659481,0.940133850091239,1.07884308805288
138,144,0.462833285815802,0.267216922155672,0.0954473504941362,0.12615160642479,0.266483888385369,0.412548040490103,0.604830855761415,0.971300949609726,1.11460864408186
139,145,0.481368730748724,0.277918366277244,0.0992698048492914,0.1312036980218,0.277155976132843,0.429069673054215,0.629052987929238,1.01019939493881,1.15924624422275
140,146,0.50386779098454,0.290908204760906,0.103909651969041,0.137336127729818,0.290110180682088,0.449124287745106,0.658454775296951,1.05741587491573,1.21342913856311
141,147,0.530376335500918,0.306212920073262,0.109376351139314,0.14456139777242,0.305372911852577,0.472752770033712,0.693096159476072,1.11304665007951,1.27726779011537
142,148,0.560795250967894,0.323775289106577,0.115649462808693,0.152852493442203,0.322887103511929,0.49986677491263,0.732847619098938,1.17688372140659,1.35052351126197
143,149,0.396611646137843,0.280446784481628,0.0480315103365906,0.0704702568661135,0.190627176318151,0.332825981250501,0.533965106475269,0.940735957846896,1.10488932848665
144,150,0.210814239911802,0.210814239911802,0.00533735444644103,0.0108133568688838,0.0606474774401742,0.146125296016754,0.292250592033507,0.63154302222854,0.777668318245294
145,151,0.224357905320126,0.224357905320126,0.00568025036665243,0.0115080560857594,0.0645437471734342,0.15551304950898,0.31102609901796,0.67211621779447,0.82762926730345
